Sample1	Sample2	Viewpoint	Region	Sum_sample1	Sum_sample2	Ratio
E12_PFL_invTDOMdelBd	E12_PFL_invTDOM	Hoxd9	CS93_oninvTDOM	72.07538461538459	23.87846153846154	301.84
E12_PFL_invTDOMdelBd	E12_PFL_invTDOM	Hoxd9	CS65_oninvTDOM	65.62538461538468	62.560000000000024	104.9
E12_PFL_invTDOMdelBd	E12_PFL_invTDOM	Hoxd4	TDOM_oninvTDOM	1595.2061538461578	954.4938461538445	167.13
E12_PFL_invTDOMdelBd	E12_PFL_invTDOM	Hoxd4	ELCR2_oninvTDOM	23.354615384615386	12.215384615384618	191.19
E12_PFL_invTDOMdelBd	E12_PFL_invTDOM	Hoxd4	ELCR3_oninvTDOM	12.094615384615397	9.30692307692308	129.95
E12_PFL_invTDOMdelBd	E12_PFL_invTDOM	Hoxd4	CS39_oninvTDOM	145.6138461538461	83.70615384615387	173.96
E12_PFL_invTDOMdelBd	E12_PFL_invTDOM	Hoxd4	CS93_oninvTDOM	49.09769230769229	21.699230769230798	226.26
E12_PFL_invTDOMdelBd	E12_PFL_invTDOM	Hoxd4	CS65_oninvTDOM	93.55230769230758	30.792307692307713	303.82
E12_PFL_invTDOMdelBd	E12_PFL_invTDOM	CS38	HoxD	930.44923076923	589.6300000000001	157.8
E12_PFL_invTDOMdelBd	E12_PFL_invTDOM	CTCF-37141	HoxD	510.0753846153847	207.4107692307694	245.93
