file_name	Nb_frags	Trans	SignalInPlottedRegion	FragmentsInPlottedRegion
segToFrag_E12_PFL_invTDOM_Hoxd4.bw	19915	47.883459421096454	39.46364359364383	895
segToFrag_E9_FLB_invCS3840_Hoxd4_neq2.bw	24502	32.58753895448196	51.52289702570901	1379
segToFrag_E12_PFL_delCTCFs_CS38.bw	15802	42.48862403798038	40.66504958495362	1131
segToFrag_E9_FLB_delCS3840_CTCF-37154.bw	8165	29.768703259830275	56.25537735026709	1197
segToFrag_E12_PFL_wt_CS38_neq6.bw	107124	53.34843094711085	34.65378338856804	1439
segToFrag_E12_PFL_invTDOM_CTCF-37141.bw	17572	52.71528486335457	34.75607429652839	1057
segToFrag_E12_PFL_invTDOMdelBd_Hoxd9.bw	37963	77.85192891063402	14.19495536727714	630
segToFrag_E12_PFL_invTDOMdelBd_CTCF-37157.bw	21581	68.1148787591611	19.782928442955473	811
segToFrag_E12_PFL_invTDOMdelBd_CS38.bw	11995	57.932485038987735	29.20745195335719	951
segToFrag_E12_PFL_wt_Hoxd11_neq3.bw	24207	33.21839304248777	46.18435029101081	1308
segToFrag_E9_FLB_wt_Hoxd9.bw	24541	56.492406238656365	31.646030722159395	982
segToFrag_E9_FLB_invCS3840_Hoxd13.bw	14579	16.448491014400844	47.491689095314285	1331
segToFrag_E12_PFL_invTDOM_Hoxd9.bw	40619	58.059324513470976	28.02314528367669	804
segToFrag_E12_PFL_invTDOM_Hoxd11.bw	16033	38.74197088631075	46.45179319170653	1126
segToFrag_E9_FLB_invCS3840_CS40_neq2.bw	32764	34.07358615208498	49.57349463696421	1425
segToFrag_E9_FLB_invTDOM_CTCF-37141.bw	13900	53.92451067387197	30.69049262452483	1077
segToFrag_E9_FLB_invCS3840_CTCF-37154.bw	10678	23.25151153766234	56.16904408631108	1342
segToFrag_E12_PFL_invTDOMdelBd_Hoxd11.bw	8324	36.54667628179974	51.85509378689622	626
segToFrag_E9_FLB_delCS3840_CTCF-37141_neq2.bw	31797	45.627214075015786	41.88531128381799	1343
