file_name	Nb_frags	Trans	SignalInPlottedRegion	FragmentsInPlottedRegion
segToFrag_E9_FLB_invTDOM_Hoxd11.bw	7919	37.75541629393789	43.92020672703358	766
segToFrag_E9_FLB_invTDOM_Hoxd9.bw	32421	65.22002528410474	21.7778188472747	909
segToFrag_E9_FLB_delCS3840_Hoxd11_neq2.bw	15880	29.593648111910465	51.3048462426127	1302
segToFrag_E12_PFL_delCTCFs_Hoxd4.bw	17487	44.10229323310304	39.95490627958249	1229
segToFrag_E12_PFL_wt_Hoxd9.bw	48840	50.0008475385072	32.71016597253757	1247
segToFrag_E12_PFL_delCTCFs_Hoxd11.bw	10932	37.699295222367866	43.44409745666553	1006
segToFrag_E9_FLB_wt_Hoxd4.bw	12668	40.81261202767298	48.02921737105379	1145
segToFrag_E9_FLB_delCS3840_CS93.bw	7147	38.46848486544917	43.80498301628865	1040
segToFrag_E9_FLB_invCS3840_CS93.bw	10241	26.261744035288913	51.00593929157319	1252
segToFrag_E12_PFL_wt_Hoxd4_neq5.bw	101811	54.21251264602969	34.240018531324516	1427
segToFrag_E9_FLB_invTDOM_CS65.bw	20386	53.425241864171255	30.400902077100664	1190
segToFrag_E9_FLB_wt_ELCR2.bw	18914	57.31370554949358	29.859268014654777	955
segToFrag_E9_FLB_wt_Hoxd13.bw	42944	38.60442540469937	37.505982936738235	1335
segToFrag_E9_FLB_delCS3840_Hoxd4_neq2.bw	28314	34.85278326623362	51.71750986281382	1373
segToFrag_E9_FLB_delCS3840_ELCR2_neq2.bw	24025	49.100273291345964	37.244434285327586	1187
segToFrag_E9_FLB_invTDOM_ELCR2.bw	19501	59.21330483355462	26.323682288215338	983
segToFrag_E9_FLB_wt_CTCF-37154.bw	7311	45.93450079759134	42.96764295221266	923
segToFrag_E9_FLB_invTDOM_Hoxd4.bw	16515	44.3874478851091	38.62600324856399	1141
segToFrag_E9_FLB_wt_CS65.bw	20969	53.625882400112744	30.731839670709302	1204
